"Country,",Total,New,Total,New,Total,Active,"Serious,",Tot Cases/,Deaths/,1st
Other,Cases,Cases,Deaths,Deaths,Recovered,Cases,Critical,1M pop,1M pop,case
World,"614,811","18,499","28,282",941,"137,336","449,193","23,997",78.9,3.6,10-Jan
USA,"104,256",130,"1,704",8,"2,525","100,027","2,494",315,5,20-Jan
Italy,"86,498",,"9,134",,"10,950","66,414","3,732","1,431",151,29-Jan
China,"81,394",54,"3,295",3,"74,971","3,128",886,57,2,10-Jan
Spain,"72,248","6,529","5,690",552,"12,285","54,273","4,165","1,545",122,30-Jan
Germany,"53,340","2,469",399,48,"6,658","46,283","1,581",637,5,26-Jan
Iran,"35,408","3,076","2,517",139,"11,679","21,212","3,206",422,30,18-Feb
France,"32,964",,"1,995",,"5,700","25,269","3,787",505,31,23-Jan
UK,"14,543",,759,,135,"13,649",163,214,11,30-Jan
Switzerland,"13,259",331,241,10,"1,530","11,488",203,"1,532",28,24-Feb
S. Korea,"9,478",146,144,5,"4,811","4,523",59,185,3,19-Jan
Belgium,"9,134","1,850",353,64,"1,063","7,718",789,788,30,3-Feb
Netherlands,"8,603",,546,,3,"8,054",761,502,32,26-Feb
Austria,"7,964",267,68,10,225,"7,671",128,884,8,24-Feb
Turkey,"5,698",,92,,42,"5,564",241,68,1,9-Mar
Canada,"4,757",,55,,354,"4,348",120,126,1,24-Jan
Portugal,"4,268",,100,24,43,"4,125",71,419,10,1-Mar
Norway,"3,811",40,20,1,7,"3,784",76,703,4,25-Feb
Australia,"3,635",257,14,1,170,"3,451",23,143,0.5,24-Jan
Brazil,"3,477",60,93,1,6,"3,378",296,16,0.4,24-Feb
Israel,"3,460",425,12,,89,"3,359",50,400,1,20-Feb
Sweden,"3,069",,105,,16,"2,948",214,304,10,30-Jan
Czechia,"2,422",143,9,,11,"2,402",34,226,0.8,29-Feb
Malaysia,"2,320",159,27,1,320,"1,973",54,72,0.8,24-Jan
Denmark,"2,201",155,65,13,1,"2,135",109,380,11,26-Feb
Ireland,"2,121",,22,,5,"2,094",59,430,4,28-Feb
Ecuador,"1,627",,41,,3,"1,583",58,92,2,28-Feb
Chile,"1,610",,5,,43,"1,562",7,84,0.3,2-Mar
Luxembourg,"1,605",,15,,40,"1,550",25,"2,564",24,28-Feb
Japan,"1,499",,49,,404,"1,046",56,12,0.4,14-Jan
Romania,"1,452",160,29,3,139,"1,284",34,75,2,25-Feb
Poland,"1,436",47,16,,7,"1,413",3,38,0.4,3-Mar
Pakistan,"1,415",42,12,1,29,"1,374",7,6,0.05,25-Feb
Russia,"1,264",228,4,,49,"1,211",8,9,0.03,30-Jan
Thailand,"1,245",109,6,1,97,"1,142",11,18,0.09,12-Jan
Saudi Arabia,"1,203",99,4,1,37,"1,162",6,35,0.1,1-Mar
South Africa,"1,170",,1,,31,"1,138",7,20,0.02,4-Mar
Finland,"1,167",126,8,1,10,"1,149",32,211,1,28-Jan
Indonesia,"1,155",109,102,15,59,994,,4,0.4,1-Mar
Philippines,"1,075",272,68,14,35,972,1,10,0.6,29-Jan
Greece,966,,28,,52,886,66,93,3,25-Feb
India,933,46,20,,84,829,,0.7,0.01,29-Jan
Iceland,890,,2,,97,791,18,"2,608",6,27-Feb
Panama,786,,14,,2,770,20,182,3,9-Mar
Singapore,732,,2,,183,547,17,125,0.3,22-Jan
Mexico,717,132,12,4,4,701,1,6,0.09,27-Feb
Diamond Princess,712,,10,,597,105,15,,,4-Feb
Argentina,690,101,17,4,72,601,,15,0.4,2-Mar
Slovenia,684,52,9,,10,665,25,329,4,3-Mar
Estonia,645,70,1,,20,624,10,486,0.8,26-Feb
Peru,635,,11,,16,608,21,19,0.3,5-Mar
Croatia,635,49,4,1,45,586,14,155,1,24-Feb
Dominican Republic,581,,20,,3,558,,54,2,29-Feb
Qatar,562,,,,43,519,6,195,,28-Feb
Hong Kong,560,41,4,,112,444,5,75,0.5,22-Jan
Colombia,539,,6,,10,523,,11,0.1,5-Mar
Egypt,536,,30,,116,390,,5,0.3,13-Feb
Serbia,528,,8,,42,478,25,60,0.9,5-Mar
Iraq,506,48,42,2,131,333,,13,1,21-Feb
Bahrain,473,7,4,,254,215,1,278,2,23-Feb
New Zealand,451,83,,,50,401,2,94,,27-Feb
Lebanon,412,21,8,,27,377,3,60,1,20-Feb
Algeria,409,,26,,29,354,,9,0.6,24-Feb
UAE,405,,2,,52,351,2,41,0.2,28-Jan
Lithuania,382,24,5,,1,376,2,140,2,27-Feb
Armenia,372,43,1,,28,343,6,126,0.3,29-Feb
Morocco,358,13,23,,11,324,1,10,0.6,1-Mar
Hungary,343,43,11,1,34,298,6,36,1,3-Mar
Bulgaria,313,20,5,2,9,299,8,45,0.7,6-Mar
Ukraine,311,1,8,3,5,298,,7,0.2,2-Mar
